"","ensembl_gene_id","external_gene_name","log2FoldChange.04h_RNA","log2FoldChange.08h_RNA","log2FoldChange.14h_RNA","padj.04h_RNA","padj.08h_RNA","padj.14h_RNA","cluster"
"141","ENSG00000089123","TASP1",0.21556156296071,0.190628894524505,1.29984846528417,0.538243300815202,0.611894664658172,6.14848985109883e-06,"3"
"142","ENSG00000156239","N6AMT1",-0.0737916044773428,-0.122011654415137,-1.13980500185166,0.853937086225262,0.660933381929539,5.84710416064306e-06,"4"
"143","ENSG00000170191","NANP",-1.04430837909799,-1.19256816431274,-2.15096989459957,0.000149552348694617,1.11480090277681e-05,1.36464323326164e-11,"4"
"144","ENSG00000132792","CTNNBL1",0.221931900071711,0.525050730716018,1.14421866252201,0.301324763825625,0.00123201862935889,3.52960808525151e-14,"3"
"145","ENSG00000151240","DIP2C",-0.0438675931280213,-1.03010000262207,-1.82168783296439,0.907585314622407,3.79875352367095e-08,3.51366408603893e-17,"4"
"146","ENSG00000196139","AKR1C3",-0.210803283133697,-0.66265288540983,-1.0162720238979,0.556286142317374,0.0598569048241969,0.00568601485114909,"4"
"147","ENSG00000180530","NRIP1",0.39511108074361,1.37937273725346,1.32609137764164,2.03722928341499e-05,1.45140189137161e-63,1.36356138459356e-57,"3"
"148","ENSG00000159140","SON",-0.0183516289188893,0.0819372484316071,1.04424800475915,0.93598870309832,0.419876109287535,3.99481540749608e-42,"3"
"149","ENSG00000101955","SRPX",0.210223473625037,0.816067853688279,1.13223878354901,0.0312686181411595,3.33862895448195e-26,1.04373721926532e-49,"3"
"150","ENSG00000141441","GAREM1",0.0640742788383178,-0.257501582609558,1.08076071128669,0.889248283174146,0.441078325786256,3.18177140160521e-05,"3"
"151","ENSG00000149639","SOGA1",-0.59085635366183,-3.22386850484634,-3.49515184487496,1.35337504538886e-07,8.47322506057552e-106,1.91107227578592e-95,"5"
"152","ENSG00000141642","ELAC1",1.33846182388318,1.08646330433768,0.109433327010668,1.30382815497828e-05,0.000361591231022027,0.781931764493824,"3"
"153","ENSG00000152229","PSTPIP2",-0.179581280590969,-1.11959543997356,-0.134790718285297,0.566023661023066,5.4595046979925e-06,0.607548251664835,"4"
"154","ENSG00000196839","ADA",-0.246835672744256,-1.20808781273017,-2.31418523510307,0.447945044303306,0.0255523559775661,0.000984423859370273,"4"
"155","ENSG00000086717","PPEF1",0.17179276286476,5.39847610519371,3.93779215032417,0.133091900497653,0.000263641118644888,0.00365260420894006,"2"
"156","ENSG00000101442","ACTR5",-0.0593396115637087,0.733724300220114,1.16814871529051,0.902052804991342,0.0216938364370865,0.000142454820751281,"3"
"157","ENSG00000130150","MOSPD2",0.495982496837675,0.69982304028496,1.30282396864836,0.000839917447681725,4.43652945514654e-07,6.5470402317297e-23,"3"
"158","ENSG00000177189","RPS6KA3",0.124125306306464,0.885604468553044,1.7725077875076,0.495690040209685,5.56413390834465e-17,3.92850740960263e-68,"3"
"159","ENSG00000141664","ZCCHC2",-0.255536906927599,0.129010284331969,1.19348810291956,0.465729924597463,0.775465711412554,0.000389890004248996,"3"
"160","ENSG00000154736","ADAMTS5",0.408032277936108,-1.26747855059612,-1.30985141801499,0.0774053461014329,8.13641991701985e-08,1.00382955704344e-07,"4"
"161","ENSG00000101782","RIOK3",-0.0056753368980038,-0.167592363468207,1.09944855690863,0.988303358474925,0.162387730816848,4.02856493115446e-30,"3"
"162","ENSG00000139668","WDFY2",-0.274569232121206,-1.20511134286992,-1.09230632391621,0.0645564011167391,3.73538577305681e-20,3.54867121011955e-16,"4"
"163","ENSG00000149633","KIAA1755",-0.11878549695815,-2.44375454903995,-3.99967720059944,0.773988724553101,2.40005230539229e-08,9.71534290641914e-09,"5"
"164","ENSG00000107485","GATA3",1.81677380969648,0.920634443492627,0.472344498723616,3.17286709330683e-05,0.034676225901171,0.317988342310145,"3"
"165","ENSG00000075218","GTSE1",-0.453806491736784,-1.35075803008343,-2.21450118737456,0.0087137645606736,1.57407285480312e-15,3.66402786655183e-28,"4"
"166","ENSG00000185950","IRS2",-0.914101217971485,0.303200324904946,1.49670874287585,5.34685877038589e-13,0.0140455184605881,1.43844290940238e-44,"3"
"167","ENSG00000184708","EIF4ENIF1",-0.674975464168666,-1.10755665835483,0.326438946367528,0.00317758693391563,1.41199565143043e-06,0.136898504587703,"4"
"168","ENSG00000141458","NPC1",0.18720193903414,0.156988636876945,1.31879592642153,0.424593417103072,0.43673498069251,3.93764608418356e-18,"3"
"169","ENSG00000157617","C2CD2",-0.260633586709617,-2.1766294844192,-2.895639193441,0.240344257770986,2.89319371734092e-25,9.52825809921832e-30,"5"
"170","ENSG00000123240","OPTN",0.288637436380527,0.107309434402623,-1.04397120185285,0.0202425936059392,0.419510627701376,3.39706194012599e-18,"4"
"171","ENSG00000198176","TFDP1",0.0672126618508056,-0.470569197148154,-1.59167128930935,0.73046278846036,2.23099337020482e-06,1.86213776255271e-48,"4"
"172","ENSG00000128311","TST",-0.160662383834278,-1.08174341504255,-1.25271517042426,0.67784732743699,0.00276948358761106,0.000977098397283437,"4"
"173","ENSG00000128335","APOL2",-0.478101391280173,-2.15113317565958,-3.89379979355366,0.0112417369497655,7.82617744577744e-26,8.37708952452861e-34,"5"
"174","ENSG00000159216","RUNX1",-0.406386665012162,-2.84829679915123,-3.81354708302208,0.00149801668274888,5.31709692394202e-88,1.00441106007789e-94,"5"
"175","ENSG00000067082","KLF6",-1.83409693959116,-1.55597454370252,-0.930677483928431,1.49323620939164e-39,1.59796344157135e-30,2.37271102766126e-12,"4"
"176","ENSG00000101452","DHX35",-0.146167255147171,0.436923487186858,1.34580849427143,0.661454348112725,0.0519377104793479,9.30300564534752e-12,"3"
